casual_member,2024_3,2024_4,2024_5,2024_6,2024_7,2024_8,2024_9,2024_10,2024_11,2024_12,2025_1,2025_2
casual,0:24:58,0:26:01,0:27:44,0:27:37,0:27:41,0:26:04,0:21:38,0:23:14,0:19:30,0:17:45,0:14:43,0:14:24
member,0:11:58,0:12:22,0:13:30,0:13:53,0:13:43,0:13:25,0:12:13,0:11:59,0:11:07,0:10:46,0:10:04,0:10:00
